beer_beerid,review_overall,review_aroma,review_appearance,review_palate,review_taste,beer_abv
7377,3.25,3.0,3.0,3.25,3.25,5.2
21753,4.15,4.175,4.4,4.125,4.125,4.2
5330,4.0,4.0,4.0,4.0,4.5,8.0
67188,4.125,3.875,3.75,4.125,4.0,6.0
16542,4.208333333333333,3.75,4.333333333333333,4.083333333333333,4.083333333333333,6.7
5365,2.75,2.25,2.4375,2.1875,2.5,4.8
60755,5.0,4.0,4.0,4.0,4.0,12.0
14123,4.0,4.5,3.5,4.0,4.0,11.0
14774,3.5,3.0,3.5,3.5,3.0,5.5
18885,4.092592592592593,3.962962962962963,3.9814814814814814,3.8333333333333335,4.055555555555555,5.4
59367,4.0,3.5,3.5,4.0,3.5,4.7
3756,3.75,3.4583333333333335,3.6666666666666665,3.9166666666666665,3.625,5.0
42364,3.827272727272727,3.7818181818181817,3.7636363636363637,3.618181818181818,3.8,4.8
61975,3.25,3.75,3.75,4.0,3.5,9.1
35266,2.0,3.0,3.5,2.5,3.0,4.2
3318,3.813380281690141,3.7253521126760565,3.9753521126760565,3.6161971830985915,3.7640845070422535,5.0
53179,2.5,3.375,3.625,3.25,2.5,8.0
39050,3.5,3.5,3.5,3.5,3.5,5.7
2515,3.1666666666666665,3.0,3.2222222222222223,3.2222222222222223,3.0555555555555554,4.0
45903,3.75,3.4583333333333335,4.041666666666667,3.875,3.7916666666666665,8.2
38479,4.0,3.75,4.0,4.0,3.75,7.2
37422,4.0,3.9285714285714284,4.214285714285714,3.9285714285714284,3.9285714285714284,5.1
53721,4.055555555555555,4.055555555555555,4.111111111111111,4.0,3.8333333333333335,6.1
69535,3.75,4.0,3.75,3.5,3.75,5.7
27822,4.0,4.5,3.75,3.75,4.0,7.5
7471,3.9166666666666665,2.9166666666666665,3.25,2.9166666666666665,3.0833333333333335,4.5
24126,2.5,2.0,1.5,2.5,3.0,4.0
55350,3.642857142857143,3.5,4.071428571428571,3.7142857142857144,3.7142857142857144,5.5
62763,3.5,3.375,3.5,3.5,3.25,6.1
57385,4.25,4.75,4.25,4.0,4.5,6.8
12654,3.5,3.1666666666666665,3.5,3.3333333333333335,3.3333333333333335,4.5
30412,4.175,3.8,4.225,4.075,4.1,7.3
60436,4.0,4.25,4.0,4.0,4.25,8.8
65193,4.166666666666667,4.0,4.0,3.8333333333333335,3.8333333333333335,4.4
67735,4.5,4.0,3.5,4.0,4.0,7.5
44895,3.3636363636363638,3.4545454545454546,3.5,3.3636363636363638,3.4545454545454546,9.5
33781,3.5,3.0,4.0,4.0,3.5,5.2
50219,3.7708333333333335,3.5208333333333335,3.6875,3.6458333333333335,3.7083333333333335,4.0
75085,3.9545454545454546,3.6818181818181817,4.136363636363637,3.909090909090909,3.909090909090909,8.2
30448,3.875,3.96875,3.984375,3.921875,3.9140625,10.3
64544,3.5,3.0,4.0,3.0,3.0,5.5
51821,3.9375,3.9375,3.8125,3.9375,3.9375,6.4
43207,3.5,4.0,3.25,3.25,3.5,5.5
2772,3.484848484848485,2.8636363636363638,3.1515151515151514,2.984848484848485,3.1515151515151514,4.6
5852,4.0,3.75,3.25,4.25,4.25,6.5
15993,2.8333333333333335,2.5,3.0,3.0,3.0,5.0
58356,3.8333333333333335,3.5833333333333335,3.8333333333333335,3.8333333333333335,3.6666666666666665,6.6
49821,2.5,2.5,2.0,2.5,2.5,4.6
43791,4.0,3.0,4.0,4.0,4.0,5.8
57098,4.0,3.5,4.0,4.0,4.0,6.6
76507,3.5,3.5,3.0,3.5,3.5,6.1
22341,3.2777777777777777,3.1666666666666665,3.5555555555555554,3.111111111111111,3.3333333333333335,5.7
67876,3.5416666666666665,3.7083333333333335,3.7083333333333335,3.4583333333333335,3.5416666666666665,5.2
45886,4.5,4.25,4.125,4.5,4.625,10.0
44570,3.15,3.0833333333333335,3.466666666666667,3.0166666666666666,2.85,4.3
62212,3.75,1.5,1.75,2.5,2.25,4.0
20591,3.0,3.5,3.5,3.5,3.5,8.0
38223,3.772727272727273,3.604895104895105,3.800699300699301,3.765734265734266,3.762237762237762,8.5
69753,4.25,3.75,4.25,4.25,4.25,4.5
43004,3.5,4.0,3.5,3.5,4.0,8.0
42226,3.5,3.5,3.0,3.5,3.5,6.5
72600,4.0,4.0,3.5,3.5,3.5,4.6
17335,2.5,2.5,3.0,2.5,2.5,4.5
72139,3.0,3.0,4.5,3.0,3.0,6.75
63424,4.0,4.0,4.0,4.0,4.5,5.7
55203,3.25,3.4166666666666665,3.5,3.25,3.0,6.5
5031,2.7916666666666665,3.2083333333333335,2.875,3.125,2.9166666666666665,8.0
24317,4.0,4.0,4.0,4.5,4.5,8.5
26788,4.178571428571429,3.9642857142857144,3.982142857142857,3.9732142857142856,4.098214285714286,6.25
33837,3.8947368421052633,3.9473684210526314,4.0,3.8947368421052633,4.052631578947368,6.5
27487,3.5,3.5,3.75,3.0,3.75,6.25
61542,3.8333333333333335,3.8333333333333335,3.6666666666666665,4.0,3.6666666666666665,5.4
54536,4.625,4.5,4.0625,4.3125,4.6875,5.0
41559,2.0,2.0,4.0,2.0,1.0,3.5
28714,3.5,3.5,3.3,3.4,3.5,4.7
25686,2.7432432432432434,2.3378378378378377,3.2432432432432434,2.7162162162162162,2.527027027027027,5.5
11498,3.2857142857142856,2.9761904761904763,3.261904761904762,3.238095238095238,3.119047619047619,4.5
58630,4.5,4.0,4.0,4.0,4.0,5.0
67682,3.5,3.5,4.0,4.0,3.5,6.2
45863,3.635658914728682,3.6666666666666665,3.949612403100775,3.631782945736434,3.604651162790698,8.5
17594,3.769230769230769,3.923076923076923,3.8076923076923075,3.9615384615384617,3.730769230769231,11.0
71801,2.5,3.5,2.5,4.0,2.5,10.0
61476,3.0,3.0,4.0,2.5,3.0,5.1
11910,2.5,2.5,2.5,2.5,2.5,4.2
9048,4.125,3.625,3.375,4.0,3.75,4.8
75036,1.0,1.0,3.0,1.5,1.5,10.0
71419,3.992248062015504,4.0,3.9612403100775193,3.945736434108527,3.9806201550387597,7.3
28528,3.0,4.0,3.5,3.0,3.5,6.25
7349,3.75,3.0,3.0,3.0,3.75,5.0
55233,3.769230769230769,3.730769230769231,3.5,3.769230769230769,3.730769230769231,7.5
3542,3.6415929203539825,3.9867256637168142,3.7123893805309733,3.743362831858407,3.7920353982300883,11.0
49572,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.5,3.6666666666666665,4.1
61285,3.0,3.0,3.5,2.5,3.0,5.7
66521,4.0,3.75,4.0,3.75,4.0,9.0
29203,3.5833333333333335,3.4166666666666665,3.75,3.5,3.8333333333333335,10.3
50022,4.0,3.9411764705882355,4.0588235294117645,3.9705882352941178,3.9411764705882355,7.0
46991,3.5,3.5,3.5,3.5,3.5,4.0
58510,4.0,3.5,4.0,3.5,3.0,6.0
29727,2.7,3.2,2.9,2.8,2.8,6.5
2277,3.8947368421052633,3.9473684210526314,4.131578947368421,3.789473684210526,3.9473684210526314,7.8
38514,3.5,3.6,3.9,3.0,3.3,6.5
39260,3.75,3.85,4.05,4.15,4.05,9.5
59180,3.0,3.5,3.5,3.25,3.0,5.5
62467,4.5,3.5,4.0,3.5,4.0,4.8
65482,3.0,3.0,3.0,3.0,3.0,7.0
63975,3.5,3.5,4.0,4.0,3.5,6.0
35601,3.9166666666666665,3.941666666666667,3.966666666666667,3.7333333333333334,4.008333333333334,8.0
41890,4.0,3.5,4.0,3.5,4.0,4.0
36577,1.75,1.75,3.0,1.75,1.5,4.5
76935,3.5,4.0,4.0,3.5,3.5,4.9
9394,3.6666666666666665,3.4166666666666665,3.75,3.8333333333333335,3.4166666666666665,4.8
13765,3.763888888888889,3.3993055555555554,3.7604166666666665,3.6284722222222223,3.545138888888889,5.7
77069,1.0,1.0,1.0,1.0,1.0,4.5
76890,4.5,4.0,4.5,4.5,4.5,4.2
55072,5.0,4.0,5.0,4.0,5.0,6.1
47597,3.8461538461538463,3.576923076923077,3.5384615384615383,3.3461538461538463,3.5384615384615383,4.5
27942,3.0,4.5,4.0,3.5,3.5,10.2
75755,3.0,3.0,3.0,3.0,3.0,4.1
73460,3.0,3.0,3.5,3.0,3.5,5.5
38783,3.611111111111111,3.2222222222222223,3.7222222222222223,3.388888888888889,3.2777777777777777,4.9
75711,3.5,3.5,4.5,3.75,3.0,5.8
23220,3.5833333333333335,3.2916666666666665,3.7083333333333335,3.375,3.5416666666666665,4.8
63591,4.0,4.0,4.0,4.0,4.0,4.5
73090,4.5,4.0,4.5,4.5,4.0,4.8
76597,4.0,4.0,4.0,4.0,4.0,5.2
14801,3.7,3.742857142857143,3.414285714285714,3.6714285714285713,3.7285714285714286,8.0
63272,4.5,4.0,4.0,4.5,4.0,5.7
31449,3.72,3.6,4.02,3.78,3.68,10.5
70577,3.772727272727273,3.9545454545454546,3.8636363636363638,3.909090909090909,3.772727272727273,9.5
30032,3.3333333333333335,3.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,6.8
46007,4.2368421052631575,4.105263157894737,4.105263157894737,4.2105263157894735,4.342105263157895,7.1
42064,3.25,2.75,3.75,3.25,3.0,5.8
59191,4.0,4.166666666666667,4.0,4.0,4.166666666666667,6.8
40433,3.5,3.5,4.0,3.0,4.0,4.4
30770,3.5,3.5,3.5,3.5,3.5,3.7
839,3.1842105263157894,2.8157894736842106,3.1184210526315788,2.973684210526316,2.9342105263157894,4.3
